iter	Passed	Remaining
0	160	160305
1	175	87778
2	191	63599
3	206	51306
4	221	44006
5	234	38841
6	248	35286
7	271	33649
8	288	31751
9	308	30506
10	330	29749
11	358	29484
12	379	28842
13	398	28036
14	420	27590
15	444	27362
16	464	26838
17	481	26258
18	498	25729
19	517	25334
20	532	24822
21	546	24310
22	561	23843
23	575	23411
24	589	23005
25	606	22733
26	621	22402
27	636	22089
28	651	21799
29	665	21512
30	679	21244
31	693	20988
32	708	20751
33	722	20520
34	736	20297
35	750	20088
36	765	19931
37	779	19746
38	793	19552
39	807	19377
40	822	19236
41	844	19268
42	862	19194
43	878	19084
44	893	18956
45	906	18808
46	920	18673
47	935	18546
48	949	18435
49	965	18340
50	979	18220
51	999	18219
52	1013	18111
53	1028	18015
54	1042	17914
55	1056	17802
56	1071	17734
57	1085	17627
58	1099	17538
59	1114	17460
60	1131	17411
61	1148	17376
62	1163	17309
63	1179	17247
64	1193	17169
65	1208	17100
66	1223	17036
67	1239	16984
68	1251	16888
69	1269	16862
70	1289	16867
71	1444	18623
72	1482	18827
73	1504	18826
74	1526	18829
75	1548	18832
76	1563	18736
77	1579	18670
78	1593	18582
79	1607	18484
80	1621	18401
81	1639	18355
82	1656	18303
83	1672	18240
84	1693	18227
85	1711	18186
86	1727	18126
87	1743	18068
88	1761	18030
89	1778	17979
90	1798	17969
91	1816	17929
92	1837	17918
93	1850	17836
94	1865	17776
95	1883	17734
96	1897	17665
97	1913	17614
98	1930	17567
99	1947	17525
100	1957	17427
101	1973	17370
102	1992	17353
103	2013	17349
104	2041	17400
105	2059	17371
106	2084	17393
107	2100	17351
108	2132	17435
109	2151	17405
110	2173	17410
111	2198	17433
112	2214	17385
113	2231	17339
114	2245	17283
115	2262	17239
116	2277	17191
117	2291	17125
118	2308	17092
119	2324	17047
120	2337	16982
121	2353	16939
122	2369	16896
123	2384	16845
124	2405	16836
125	2428	16842
126	2457	16895
127	2481	16905
128	2496	16855
129	2511	16809
130	2525	16754
131	2538	16694
132	2549	16621
133	2562	16563
134	2577	16515
135	2593	16473
136	2607	16425
137	2622	16378
138	2637	16338
139	2651	16290
140	2667	16253
141	2683	16211
142	2698	16169
143	2713	16129
144	2727	16085
145	2740	16032
146	2755	15989
147	2769	15941
148	2783	15898
149	2797	15850
150	2810	15799
151	2825	15760
152	2838	15712
153	2853	15673
154	2867	15633
155	2882	15597
156	2898	15562
157	2911	15516
158	2924	15470
159	2939	15429
160	2954	15397
161	2970	15364
162	2987	15339
163	3004	15313
164	3020	15286
165	3035	15252
166	3050	15213
167	3064	15174
168	3079	15140
169	3093	15101
170	3107	15063
171	3121	15025
172	3135	14990
173	3149	14952
174	3164	14920
175	3178	14882
176	3192	14845
177	3205	14801
178	3219	14764
179	3232	14727
180	3247	14694
181	3261	14657
182	3276	14627
183	3291	14596
184	3305	14562
185	3320	14533
186	3333	14490
187	3348	14461
188	3362	14428
189	3376	14393
190	3390	14360
191	3403	14323
192	3418	14293
193	3430	14254
194	3447	14230
195	3468	14226
196	3490	14226
197	3520	14257
198	3538	14244
199	3555	14222
200	3570	14191
201	3583	14157
202	3597	14125
203	3611	14092
204	3624	14056
205	3638	14024
206	3651	13989
207	3664	13955
208	3679	13927
209	3694	13897
210	3709	13870
211	3721	13834
212	3735	13801
213	3749	13773
214	3764	13743
215	3778	13715
216	3792	13683
217	3805	13649
218	3816	13610
219	3829	13578
220	3846	13556
221	3860	13529
222	3876	13506
223	3890	13478
224	3904	13450
225	3919	13424
226	3934	13397
227	3947	13364
228	3963	13342
229	3977	13316
230	3990	13283
231	4003	13251
232	4017	13225
233	4031	13198
234	4049	13183
235	4068	13171
236	4096	13189
237	4118	13185
238	4136	13171
239	4154	13156
240	4172	13140
241	4187	13117
242	4204	13098
243	4219	13074
244	4236	13055
245	4253	13036
246	4270	13018
247	4287	13001
248	4304	12981
249	4319	12957
250	4334	12933
251	4350	12913
252	4366	12891
253	4381	12869
254	4396	12845
255	4411	12819
256	4425	12793
257	4439	12769
258	4455	12747
259	4471	12726
260	4490	12714
261	4515	12718
262	4541	12726
263	4561	12715
264	4577	12696
265	4591	12670
266	4607	12648
267	4622	12625
268	4637	12602
269	4652	12579
270	4667	12556
271	4681	12530
272	4693	12498
273	4706	12471
274	4720	12444
275	4733	12416
276	4747	12391
277	4760	12364
278	4775	12341
279	4788	12313
280	4803	12290
281	4817	12266
282	4831	12241
283	4846	12217
284	4860	12194
285	4874	12169
286	4892	12154
287	4907	12131
288	4918	12101
289	4932	12077
290	4948	12055
291	4961	12029
292	4984	12026
293	4997	12001
294	5012	11978
295	5027	11956
296	5042	11935
297	5055	11909
298	5068	11883
